tweet_id,retweets,favorites,user_followers,user_favourites,date_time
696744641916489729,1011,2181,7433961,139180,2016-02-08 17:17:22
696713835009417216,693,2512,7433370,139181,2016-02-08 15:14:57
696518437233913856,1819,4103,7433370,139181,2016-02-08 02:18:30
696490539101908992,156,1290,7433961,139180,2016-02-08 00:27:39
696488710901260288,1110,2683,7433370,139181,2016-02-08 00:20:23
696405997980676096,1219,3390,7433370,139181,2016-02-07 18:51:43
696100768806522880,715,2047,7433370,139181,2016-02-06 22:38:50
695816827381944320,1254,3173,7433370,139181,2016-02-06 03:50:33
695794761660297217,842,3367,7433370,139181,2016-02-06 02:22:53
695767669421768709,800,1976,7433961,139180,2016-02-06 00:35:13
695629776980148225,2253,4821,7433370,139181,2016-02-05 15:27:17
695446424020918272,1943,4603,7433961,139180,2016-02-05 03:18:42
695409464418041856,3828,9102,7433370,139181,2016-02-05 00:51:51
695314793360662529,1584,3849,7433370,139181,2016-02-04 18:35:39
695095422348574720,660,2792,7433370,139181,2016-02-04 04:03:57
695074328191332352,1187,3002,7433370,139181,2016-02-04 02:40:08
695064344191721472,644,1696,7433370,139181,2016-02-04 02:00:27
695051054296211456,845,2817,7433370,139181,2016-02-04 01:07:39
694925794720792577,981,2841,7433370,139181,2016-02-03 16:49:55
694905863685980160,1003,2908,7433370,139181,2016-02-03 15:30:43
694669722378485760,15529,37689,7433370,139181,2016-02-02 23:52:22
694356675654983680,312,1594,7433370,139181,2016-02-02 03:08:26
694352839993344000,669,2151,7433370,139181,2016-02-02 02:53:12
694342028726001664,524,1661,7433370,139181,2016-02-02 02:10:14
694329668942569472,539,2120,7433961,139180,2016-02-02 01:21:07
694206574471057408,2175,4422,7433961,139180,2016-02-01 17:11:59
694183373896572928,998,3110,7433370,139181,2016-02-01 15:39:48
694001791655137281,1110,3582,7433962,139180,2016-02-01 03:38:15
693993230313091072,435,1973,7433371,139181,2016-02-01 03:04:14
693942351086120961,398,1827,7433371,139181,2016-01-31 23:42:03
693647888581312512,637,2848,7433371,139181,2016-01-31 04:11:58
693644216740769793,137,1420,7433371,139181,2016-01-31 03:57:23
693642232151285760,447,2679,7433371,139181,2016-01-31 03:49:30
693629975228977152,858,2585,7433371,139181,2016-01-31 03:00:47
693622659251335168,398,1628,7433371,139181,2016-01-31 02:31:43
693590843962331137,2120,5344,7433371,139181,2016-01-31 00:25:18
693582294167244802,274,1731,7433962,139180,2016-01-30 23:51:19
693486665285931008,677,1879,7433962,139180,2016-01-30 17:31:20
693280720173801472,1332,3555,7433371,139181,2016-01-30 03:52:58
693267061318012928,881,2529,7433962,139180,2016-01-30 02:58:42
693262851218264065,539,2355,7433371,139181,2016-01-30 02:41:58
693231807727280129,789,3025,7433371,139181,2016-01-30 00:38:37
693155686491000832,3441,8324,7433371,139181,2016-01-29 19:36:08
693109034023534592,660,1819,7433371,139181,2016-01-29 16:30:45
693095443459342336,499,1984,7433962,139180,2016-01-29 15:36:45
692919143163629568,800,2829,7433371,139181,2016-01-29 03:56:12
692905862751522816,944,2573,7433371,139181,2016-01-29 03:03:25
692901601640583168,652,1888,7433371,139181,2016-01-29 02:46:29
692894228850999298,868,2408,7433371,139181,2016-01-29 02:17:12
692828166163931137,947,3037,7433371,139181,2016-01-28 21:54:41
692752401762250755,3902,7207,7433371,139181,2016-01-28 16:53:37
692568918515392513,1654,4591,7433371,139181,2016-01-28 04:44:32
692535307825213440,1457,3375,7433371,139181,2016-01-28 02:30:58
692530551048294401,450,1949,7433371,139181,2016-01-28 02:12:04
692423280028966913,247,1558,7433371,139181,2016-01-27 19:05:49
692417313023332352,3729,9860,7433371,139181,2016-01-27 18:42:06
692187005137076224,878,2663,7433962,139180,2016-01-27 03:26:56
692158366030913536,851,2277,7433370,139181,2016-01-27 01:33:08
692142790915014657,423,1733,7433370,139181,2016-01-27 00:31:15
